,Singlewide,Style,style,style7,"{table: :style, code: ' style7', label: 'Singlewide '},",,,,,,,,,,
,Doublewide,Style,style,style8,"{table: :style, code: ' style8', label: 'Doublewide '},",,,,,,,,,,
,Triplewide,Style,style,style9,"{table: :style, code: ' style9', label: 'Triplewide '},",,,,,,,,,,
,Modular,Style,style,style21,"{table: :style, code: ' style21', label: 'Modular '},",,,,,,,,,,
,Multi-Level,Style,style,style10,"{table: :style, code: ' style10', label: 'Multi-Level '},",,,,,,,,,,
,Tri/Split Level,Style,style,style11,"{table: :style, code: ' style11', label: 'Tri/Split Level '},",,,,,,,,,,
,Townhouse,Style,style,style12,"{table: :style, code: ' style12', label: 'Townhouse '},",,,,,,,,,,
,Shop House,Style,style,style13,"{table: :style, code: ' style13', label: 'Shop House '},",,,,,,,,,,
,,,,,,,,,,,,,,,
Construction,Block,ConstructionType,construction_type,constype1,"{table: :construction_type, code: ' constype1', label: 'Block '},",,,,,,,,,,
,Concrete,ConstructionType,construction_type,constype2,"{table: :construction_type, code: ' constype2', label: 'Concrete '},",,,,,,,,,,
,Frame,ConstructionType,construction_type,constype3,"{table: :construction_type, code: ' constype3', label: 'Frame '},",,,,,,,,,,
,ICFs (Insulated Concrete Forms),ConstructionType,construction_type,constype4,"{table: :construction_type, code: ' constype4', label: 'ICFs (Insulated Concrete Forms) '},",,,,,,,,,,
,Log,ConstructionType,construction_type,constype5,"{table: :construction_type, code: ' constype5', label: 'Log '},",,,,,,,,,,
,Manufactured (Post-1976),ConstructionType,construction_type,constype6,"{table: :construction_type, code: ' constype6', label: 'Manufactured (Post-1976) '},",,,,,,,,,,
,Mobile (Pre-1976),ConstructionType,construction_type,constype7,"{table: :construction_type, code: ' constype7', label: 'Mobile (Pre-1976) '},",,,,,,,,,,
,Modular,ConstructionType,construction_type,constype8,"{table: :construction_type, code: ' constype8', label: 'Modular '},",,,,,,,,,,
,Straw,ConstructionType,construction_type,constype9,"{table: :construction_type, code: ' constype9', label: 'Straw '},",,,,,,,,,,
,Timber Frame,ConstructionType,construction_type,constype10,"{table: :construction_type, code: ' constype10', label: 'Timber Frame '},",,,,,,,,,,
,Steel Frame,ConstructionType,construction_type,constype11,"{table: :construction_type, code: ' constype11', label: 'Steel Frame '},",,,,,,,,,,
,On Permanent Foundation,ConstructionType,construction_type,constype12,"{table: :construction_type, code: ' constype12', label: 'On Permanent Foundation '},",,,,,,,,,,
,Mobile/Manufactured,ConstructionType,construction_type,constype32,"{table: :construction_type, code: ' constype32', label: 'Mobile/Manufactured '},",,,,,,,,,,
,Structured Insulated Panels,ConstructionType,construction_type,constype33,"{table: :construction_type, code: ' constype33', label: 'Structured Insulated Panels '},",,,,,,,,,,
,,,,,,,,,,,,,,,
Exterior Siding,Asbestos,ConstructionType,construction_type,constype14,"{table: :construction_type, code: ' constype13', label: 'Asbestos'},",,,,,,,,,,
,Aluminum,ConstructionType,construction_type,constype13,"{table: :construction_type, code: ' constype14', label: 'Aluminum'},",,,,,,,,,,
,Block,ConstructionType,construction_type,constype15,"{table: :construction_type, code: ' constype15', label: 'Block'},",,,,,,,,,,
,Brick,ConstructionType,construction_type,constype16,"{table: :construction_type, code: ' constype16', label: 'Brick'},",,,,,,,,,,
,Cedar,ConstructionType,construction_type,constype17,"{table: :construction_type, code: ' constype17', label: 'Cedar'},",,,,,,,,,,
,Cedar Shake,ConstructionType,construction_type,constype18,"{table: :construction_type, code: ' constype18', label: 'Cedar Shake'},",,,,,,,,,,
,Cement Fiber,ConstructionType,construction_type,constype19,"{table: :construction_type, code: ' constype19', label: 'Cement Fiber'},",,,,,,,,,,
,Combination,ConstructionType,construction_type,constype20,"{table: :construction_type, code: ' constype20', label: 'Combination'},",,,,,,,,,,
,Composite Wood,ConstructionType,construction_type,constype21,"{table: :construction_type, code: ' constype21', label: 'Composite Wood'},",,,,,,,,,,
,Concrete,ConstructionType,construction_type,constype22,"{table: :construction_type, code: ' constype22', label: 'Concrete'},",,,,,,,,,,
,Hardboard,ConstructionType,construction_type,constype23,"{table: :construction_type, code: ' constype23', label: 'Hardboard'},",,,,,,,,,,
,Log,ConstructionType,construction_type,constype24,"{table: :construction_type, code: ' constype24', label: 'Log'},",,,,,,,,,,
,Log Siding,ConstructionType,construction_type,constype25,"{table: :construction_type, code: ' constype25', label: 'Log Siding'},",,,,,,,,,,
,Shingle,ConstructionType,construction_type,constype26,"{table: :construction_type, code: ' constype26', label: 'Shingle'},",,,,,,,,,,
,Steel,ConstructionType,construction_type,constype27,"{table: :construction_type, code: ' constype27', label: 'Steel'},",,,,,,,,,,
,Stone,ConstructionType,construction_type,constype28,"{table: :construction_type, code: ' constype28', label: 'Stone'},",,,,,,,,,,
,Stucco,ConstructionType,construction_type,constype29,"{table: :construction_type, code: ' constype29', label: 'Stucco'},",,,,,,,,,,
,Vinyl,ConstructionType,construction_type,constype30,"{table: :construction_type, code: ' constype30', label: 'Vinyl'},",,,,,,,,,,
,Wood,ConstructionType,construction_type,constype31,"{table: :construction_type, code: ' constype31', label: 'Wood'},",,,,,,,,,,
,Aluminum Siding,ConstructionType,construction_type,constype13,"{table: :construction_type, code: ' constype13', label: 'Aluminum Siding '},",,,,,,,,,,
,Shingle Siding,ConstructionType,construction_type,constype26,"{table: :construction_type, code: ' constype26', label: 'Shingle Siding '},",,,,,,,,,,
,Steel Siding,ConstructionType,construction_type,constype27,"{table: :construction_type, code: ' constype27', label: 'Steel Siding '},",,,,,,,,,,
,Vinyl Siding,ConstructionType,construction_type,constype30,"{table: :construction_type, code: ' constype30', label: 'Vinyl Siding '},",,,,,,,,,,
,Wood Siding,ConstructionType,construction_type,constype31,"{table: :construction_type, code: ' constype31', label: 'Wood Siding '},",,,,,,,,,,
,,,,,,,,,,,,,,,
Garage/Type Stalls,None,ParkingType,parking_type,parking1,"{table: :parking_type, code: ' parking1', label: 'None '},",,,,,,,,,,
,Attached-1 Stall,ParkingType,parking_type,parking2,"{table: :parking_type, code: ' parking2', label: 'Attached-1 Stall '},",,,,,,,,,,
,Attached-2 Stalls,ParkingType,parking_type,parking3,"{table: :parking_type, code: ' parking3', label: 'Attached-2 Stalls '},",,,,,,,,,,
,Attached-3 Stalls,ParkingType,parking_type,parking4,"{table: :parking_type, code: ' parking4', label: 'Attached-3 Stalls '},",,,,,,,,,,
,Attached-4 Stalls,ParkingType,parking_type,parking5,"{table: :parking_type, code: ' parking5', label: 'Attached-4 Stalls '},",,,,,,,,,,
,Carport-1 Stall,ParkingType,parking_type,parking6,"{table: :parking_type, code: ' parking6', label: 'Carport-1 Stall '},",,,,,,,,,,
,Carport-2 Stalls,ParkingType,parking_type,parking7,"{table: :parking_type, code: ' parking7', label: 'Carport-2 Stalls '},",,,,,,,,,,
,Detached-1 Stall,ParkingType,parking_type,parking8,"{table: :parking_type, code: ' parking8', label: 'Detached-1 Stall '},",,,,,,,,,,
,Detached-2 Stalls,ParkingType,parking_type,parking9,"{table: :parking_type, code: ' parking9', label: 'Detached-2 Stalls '},",,,,,,,,,,
,Detached-3 Stalls,ParkingType,parking_type,parking10,"{table: :parking_type, code: ' parking10', label: 'Detached-3 Stalls '},",,,,,,,,,,
,Detached-4 Stalls,ParkingType,parking_type,parking11,"{table: :parking_type, code: ' parking11', label: 'Detached-4 Stalls '},",,,,,,,,,,
,,,,,,,,,,,,,,,
