Exterior Siding - Vinyl,ConstructionType,construction_type,constype30,"{table: :construction_type, code: ' constype30', label: 'Vinyl'},","'constype30' => 'Exterior Siding - Vinyl',",,,,,,,
Exterior Siding - Wood,ConstructionType,construction_type,constype31,"{table: :construction_type, code: ' constype31', label: 'Wood'},","'constype31' => 'Exterior Siding - Wood',",,,,,,,
Exterior Siding - Aluminum Siding,ConstructionType,construction_type,constype13,"{table: :construction_type, code: ' constype13', label: 'Aluminum Siding '},","'constype13' => 'Exterior Siding - Aluminum Siding',",,,,,,,
Exterior Siding - Shingle Siding,ConstructionType,construction_type,constype26,"{table: :construction_type, code: ' constype26', label: 'Shingle Siding '},","'constype26' => 'Exterior Siding - Shingle Siding',",,,,,,,
Exterior Siding - Steel Siding,ConstructionType,construction_type,constype27,"{table: :construction_type, code: ' constype27', label: 'Steel Siding '},","'constype27' => 'Exterior Siding - Steel Siding',",,,,,,,
Exterior Siding - Vinyl Siding,ConstructionType,construction_type,constype30,"{table: :construction_type, code: ' constype30', label: 'Vinyl Siding '},","'constype30' => 'Exterior Siding - Vinyl Siding',",,,,,,,
Exterior Siding - Wood Siding,ConstructionType,construction_type,constype31,"{table: :construction_type, code: ' constype31', label: 'Wood Siding '},","'constype31' => 'Exterior Siding - Wood Siding',",,,,,,,
Cooling Type - Attic Fan,CoolingType,cooling_type,cooltype1,"{table: :cooling_type, code: ' cooltype1', label: 'Attic Fan '},","'cooltype1' => 'Cooling Type - Attic Fan',",,,,,,,
Cooling Type - Central Air,CoolingType,cooling_type,cooltype2,"{table: :cooling_type, code: ' cooltype2', label: 'Central Air '},","'cooltype2' => 'Cooling Type - Central Air',",,,,,,,
Cooling Type - None,CoolingType,cooling_type,cooltype3,"{table: :cooling_type, code: ' cooltype3', label: 'None '},","'cooltype3' => 'Cooling Type - None',",,,,,,,
Cooling Type - Other,CoolingType,cooling_type,cooltype4,"{table: :cooling_type, code: ' cooltype4', label: 'Other '},","'cooltype4' => 'Cooling Type - Other',",,,,,,,
Cooling Type - Swamp Cooler,CoolingType,cooling_type,cooltype5,"{table: :cooling_type, code: ' cooltype5', label: 'Swamp Cooler '},","'cooltype5' => 'Cooling Type - Swamp Cooler',",,,,,,,
Cooling Type - Window Unit(s),CoolingType,cooling_type,cooltype6,"{table: :cooling_type, code: ' cooltype6', label: 'Window Unit(s) '},","'cooltype6' => 'Cooling Type - Window Unit(s)',",,,,,,,
Exterior Features - Acreage Fenced,ExteriorFeature,exterior_feature,exteriorfeature1,"{table: :exterior_feature, code: ' exteriorfeature1', label: 'Acreage Fenced '},","'exteriorfeature1' => 'Exterior Features - Acreage Fenced',",,,,,,,
Exterior Features - Adj to BLM,ExteriorFeature,exterior_feature,exteriorfeature2,"{table: :exterior_feature, code: ' exteriorfeature2', label: 'Adj to BLM '},","'exteriorfeature2' => 'Exterior Features - Adj to BLM',",,,,,,,
Exterior Features - Adj to Bureau of Reclamation,ExteriorFeature,exterior_feature,exteriorfeature3,"{table: :exterior_feature, code: ' exteriorfeature3', label: 'Adj to Bureau of Reclamation '},","'exteriorfeature3' => 'Exterior Features - Adj to Bureau of Reclamation',",,,,,,,
Exterior Features - Adj to National Forest,ExteriorFeature,exterior_feature,exteriorfeature4,"{table: :exterior_feature, code: ' exteriorfeature4', label: 'Adj to National Forest '},","'exteriorfeature4' => 'Exterior Features - Adj to National Forest',",,,,,,,
Exterior Features - Adj to State Land,ExteriorFeature,exterior_feature,exteriorfeature5,"{table: :exterior_feature, code: ' exteriorfeature5', label: 'Adj to State Land '},","'exteriorfeature5' => 'Exterior Features - Adj to State Land',",,,,,,,
Exterior Features - Barn,ExteriorFeature,exterior_feature,exteriorfeature6,"{table: :exterior_feature, code: ' exteriorfeature6', label: 'Barn '},","'exteriorfeature6' => 'Exterior Features - Barn',",,,,,,,
Exterior Features - Cable,ExteriorFeature,exterior_feature,exteriorfeature7,"{table: :exterior_feature, code: ' exteriorfeature7', label: 'Cable '},","'exteriorfeature7' => 'Exterior Features - Cable',",,,,,,,
Exterior Features - Chain Link Fence,ExteriorFeature,exterior_feature,exteriorfeature8,"{table: :exterior_feature, code: ' exteriorfeature8', label: 'Chain Link Fence '},","'exteriorfeature8' => 'Exterior Features - Chain Link Fence',",,,,,,,
Exterior Features - Concrete Ditches,ExteriorFeature,exterior_feature,exteriorfeature9,"{table: :exterior_feature, code: ' exteriorfeature9', label: 'Concrete Ditches '},","'exteriorfeature9' => 'Exterior Features - Concrete Ditches',",,,,,,,
Exterior Features - Corner Lot,ExteriorFeature,exterior_feature,exteriorfeature10,"{table: :exterior_feature, code: ' exteriorfeature10', label: 'Corner Lot '},","'exteriorfeature10' => 'Exterior Features - Corner Lot',",,,,,,,
Exterior Features - Corrals,ExteriorFeature,exterior_feature,exteriorfeature11,"{table: :exterior_feature, code: ' exteriorfeature11', label: 'Corrals '},","'exteriorfeature11' => 'Exterior Features - Corrals',",,,,,,,
Exterior Features - Covered Deck,ExteriorFeature,exterior_feature,exteriorfeature12,"{table: :exterior_feature, code: ' exteriorfeature12', label: 'Covered Deck '},","'exteriorfeature12' => 'Exterior Features - Covered Deck',",,,,,,,
Exterior Features - Covered Patio,ExteriorFeature,exterior_feature,exteriorfeature13,"{table: :exterior_feature, code: ' exteriorfeature13', label: 'Covered Patio '},","'exteriorfeature13' => 'Exterior Features - Covered Patio',",,,,,,,
Exterior Features - Creek,ExteriorFeature,exterior_feature,exteriorfeature14,"{table: :exterior_feature, code: ' exteriorfeature14', label: 'Creek '},","'exteriorfeature14' => 'Exterior Features - Creek',",,,,,,,
Exterior Features - Cul-de-Sac,ExteriorFeature,exterior_feature,exteriorfeature15,"{table: :exterior_feature, code: ' exteriorfeature15', label: 'Cul-de-Sac '},","'exteriorfeature15' => 'Exterior Features - Cul-de-Sac',",,,,,,,
Exterior Features - Deck,ExteriorFeature,exterior_feature,exteriorfeature16,"{table: :exterior_feature, code: ' exteriorfeature16', label: 'Deck '},","'exteriorfeature16' => 'Exterior Features - Deck',",,,,,,,
Exterior Features - Dirt Ditches,ExteriorFeature,exterior_feature,exteriorfeature17,"{table: :exterior_feature, code: ' exteriorfeature17', label: 'Dirt Ditches '},","'exteriorfeature17' => 'Exterior Features - Dirt Ditches',",,,,,,,
Exterior Features - Fenced Yard,ExteriorFeature,exterior_feature,exteriorfeature18,"{table: :exterior_feature, code: ' exteriorfeature18', label: 'Fenced Yard '},","'exteriorfeature18' => 'Exterior Features - Fenced Yard',",,,,,,,
Exterior Features - Fishing,ExteriorFeature,exterior_feature,exteriorfeature19,"{table: :exterior_feature, code: ' exteriorfeature19', label: 'Fishing '},","'exteriorfeature19' => 'Exterior Features - Fishing',",,,,,,,
Exterior Features - Flat Terrain,ExteriorFeature,exterior_feature,exteriorfeature20,"{table: :exterior_feature, code: ' exteriorfeature20', label: 'Flat Terrain '},","'exteriorfeature20' => 'Exterior Features - Flat Terrain',",,,,,,,
Exterior Features - Garden,ExteriorFeature,exterior_feature,exteriorfeature21,"{table: :exterior_feature, code: ' exteriorfeature21', label: 'Garden '},","'exteriorfeature21' => 'Exterior Features - Garden',",,,,,,,
Exterior Features - Golf Course Lot,ExteriorFeature,exterior_feature,exteriorfeature22,"{table: :exterior_feature, code: ' exteriorfeature22', label: 'Golf Course Lot '},","'exteriorfeature22' => 'Exterior Features - Golf Course Lot',",,,,,,,
Exterior Features - Greenhouse,ExteriorFeature,exterior_feature,exteriorfeature23,"{table: :exterior_feature, code: ' exteriorfeature23', label: 'Greenhouse '},","'exteriorfeature23' => 'Exterior Features - Greenhouse',",,,,,,,
Exterior Features - Guest House,ExteriorFeature,exterior_feature,exteriorfeature24,"{table: :exterior_feature, code: ' exteriorfeature24', label: 'Guest House '},","'exteriorfeature24' => 'Exterior Features - Guest House',",,,,,,,
Exterior Features - Hand Line,ExteriorFeature,exterior_feature,exteriorfeature25,"{table: :exterior_feature, code: ' exteriorfeature25', label: 'Hand Line '},","'exteriorfeature25' => 'Exterior Features - Hand Line',",,,,,,,
Exterior Features - Horse Property,ExteriorFeature,exterior_feature,exteriorfeature26,"{table: :exterior_feature, code: ' exteriorfeature26', label: 'Horse Property '},","'exteriorfeature26' => 'Exterior Features - Horse Property',",,,,,,,
Exterior Features - Hot Tub,ExteriorFeature,exterior_feature,exteriorfeature27,"{table: :exterior_feature, code: ' exteriorfeature27', label: 'Hot Tub '},","'exteriorfeature27' => 'Exterior Features - Hot Tub',",,,,,,,
Exterior Features - Hunting,ExteriorFeature,exterior_feature,exteriorfeature28,"{table: :exterior_feature, code: ' exteriorfeature28', label: 'Hunting '},","'exteriorfeature28' => 'Exterior Features - Hunting',",,,,,,,
Exterior Features - Irrigated,ExteriorFeature,exterior_feature,exteriorfeature29,"{table: :exterior_feature, code: ' exteriorfeature29', label: 'Irrigated '},","'exteriorfeature29' => 'Exterior Features - Irrigated',",,,,,,,
Exterior Features - Kennel (Dog),ExteriorFeature,exterior_feature,exteriorfeature30,"{table: :exterior_feature, code: ' exteriorfeature30', label: 'Kennel (Dog) '},","'exteriorfeature30' => 'Exterior Features - Kennel (Dog)',",,,,,,,
Exterior Features - Lake View,ExteriorFeature,exterior_feature,exteriorfeature31,"{table: :exterior_feature, code: ' exteriorfeature31', label: 'Lake View '},","'exteriorfeature31' => 'Exterior Features - Lake View',",,,,,,,
Exterior Features - Landscaping,ExteriorFeature,exterior_feature,exteriorfeature32,"{table: :exterior_feature, code: ' exteriorfeature32', label: 'Landscaping '},","'exteriorfeature32' => 'Exterior Features - Landscaping',",,,,,,,
Exterior Features - Loafing Shed,ExteriorFeature,exterior_feature,exteriorfeature33,"{table: :exterior_feature, code: ' exteriorfeature33', label: 'Loafing Shed '},","'exteriorfeature33' => 'Exterior Features - Loafing Shed',",,,,,,,
Exterior Features - Mountain View,ExteriorFeature,exterior_feature,exteriorfeature34,"{table: :exterior_feature, code: ' exteriorfeature34', label: 'Mountain View '},","'exteriorfeature34' => 'Exterior Features - Mountain View',",,,,,,,
Exterior Features - Natural Gas to Property,ExteriorFeature,exterior_feature,exteriorfeature35,"{table: :exterior_feature, code: ' exteriorfeature35', label: 'Natural Gas to Property '},","'exteriorfeature35' => 'Exterior Features - Natural Gas to Property',",,,,,,,
Exterior Features - Patio,ExteriorFeature,exterior_feature,exteriorfeature36,"{table: :exterior_feature, code: ' exteriorfeature36', label: 'Patio '},","'exteriorfeature36' => 'Exterior Features - Patio',",,,,,,,
Exterior Features - Pivot Irrigated,ExteriorFeature,exterior_feature,exteriorfeature37,"{table: :exterior_feature, code: ' exteriorfeature37', label: 'Pivot Irrigated '},","'exteriorfeature37' => 'Exterior Features - Pivot Irrigated',",,,,,,,
