index,row,propertyTableColumn,DatabaseTableName,formatHashColumn
238,Road Maintenance - Private,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Private'}"
239,Road Maintenance - Public,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Public'}"
241,Road Surface - Paved (Asphalt/Concrete),ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Paved (Asphalt/Concrete)'}"
242,Road Surface - Unpaved (Dirt/Gravel),ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Unpaved (Dirt/Gravel)'}"
244,Sewer - Aerobic Septic,SewerType,Sewer_Type,"{table: :Sewer_Type, code: 'sewertype', label: 'Aerobic Septic'}"
245,Sewer - Central,SewerType,Sewer_Type,"{table: :Sewer_Type, code: 'sewertype', label: 'Central'}"
246,Sewer - City,SewerType,Sewer_Type,"{table: :Sewer_Type, code: 'sewertype', label: 'City'}"
247,Sewer - City Sewer Connection Available,SewerType,Sewer_Type,"{table: :Sewer_Type, code: 'sewertype', label: 'City Sewer Connection Available'}"
248,Sewer - Connected to City Sewer,SewerType,Sewer_Type,"{table: :Sewer_Type, code: 'sewertype', label: 'Connected to City Sewer'}"
249,Sewer - Engineered Septic,SewerType,Sewer_Type,"{table: :Sewer_Type, code: 'sewertype', label: 'Engineered Septic'}"
250,Sewer - Mound Septic,SewerType,Sewer_Type,"{table: :Sewer_Type, code: 'sewertype', label: 'Mound Septic'}"
251,Sewer - None,SewerType,Sewer_Type,"{table: :Sewer_Type, code: 'sewertype', label: 'None'}"
252,Sewer - Red Lodge,SewerType,Sewer_Type,"{table: :Sewer_Type, code: 'sewertype', label: 'Red Lodge'}"
253,Sewer - Septic Needed,SewerType,Sewer_Type,"{table: :Sewer_Type, code: 'sewertype', label: 'Septic Needed'}"
254,Sewer - Septic Tank,SewerType,Sewer_Type,"{table: :Sewer_Type, code: 'sewertype', label: 'Septic Tank'}"
255,Sewer - Shared Septic,SewerType,Sewer_Type,"{table: :Sewer_Type, code: 'sewertype', label: 'Shared Septic'}"
257,Type of Leased Land - BLM,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'BLM'}"
258,Type of Leased Land - Bureau of Reclamation,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'Bureau of Reclamation'}"
259,Type of Leased Land - Forest Services,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'Forest Services'}"
260,Type of Leased Land - Private,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'Private'}"
261,Type of Leased Land - State,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'State'}"
262,Type of Leased Land - None,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'None'}"
264,Topography - Flat,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'Flat'}"
265,Topography - Mountainous,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'Mountainous'}"
266,Topography - Rolling,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'Rolling'}"
267,Topography - Steep,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'Steep'}"
269,Leases and Permits - BLM,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'BLM'}"
270,Leases and Permits - State,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'State'}"
271,Leases and Permits - Forest Service,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Forest Service'}"
272,Leases and Permits - Private,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Private'}"
273,Leases and Permits - None,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'None'}"
274,Leases and Permits - Other-See Remarks,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Other-See Remarks'}"
276,Water Rights - Well,WaterSource,Water_Source,"{table: :Water_Source, code: 'watersource', label: 'Well'}"
277,Water Rights - Surface,WaterSource,Water_Source,"{table: :Water_Source, code: 'watersource', label: 'Surface'}"
278,Water Rights - Territorial,WaterSource,Water_Source,"{table: :Water_Source, code: 'watersource', label: 'Territorial'}"
279,Water Rights - Reservoir,WaterSource,Water_Source,"{table: :Water_Source, code: 'watersource', label: 'Reservoir'}"
280,Water Rights - Water District,WaterSource,Water_Source,"{table: :Water_Source, code: 'watersource', label: 'Water District'}"
281,Water Rights - None,WaterSource,Water_Source,"{table: :Water_Source, code: 'watersource', label: 'None'}"
282,Water Rights - Other-See Remarks,WaterSource,Water_Source,"{table: :Water_Source, code: 'watersource', label: 'Other-See Remarks'}"
284,Business Type - Accounting,Style,Style,"{table: :Style, code: 'style', label: 'Accounting'}"
285,Business Type - Agriculture,Style,Style,"{table: :Style, code: 'style', label: 'Agriculture'}"
286,Business Type - Appliances,Style,Style,"{table: :Style, code: 'style', label: 'Appliances'}"
287,Business Type - Appraisal,Style,Style,"{table: :Style, code: 'style', label: 'Appraisal'}"
288,Business Type - Auto Repair-Speclty,Style,Style,"{table: :Style, code: 'style', label: 'Auto Repair-Speclty'}"
289,Business Type - Auto Sales,Style,Style,"{table: :Style, code: 'style', label: 'Auto Sales'}"
290,Business Type - Liquor Store,Style,Style,"{table: :Style, code: 'style', label: 'Liquor Store'}"
291,Business Type - Bed & Breakfast,Style,Style,"{table: :Style, code: 'style', label: 'Bed & Breakfast'}"
292,Business Type - Campground,Style,Style,"{table: :Style, code: 'style', label: 'Campground'}"
293,Business Type - Car Wash,Style,Style,"{table: :Style, code: 'style', label: 'Car Wash'}"
294,Business Type - Construction/Contractor,Style,Style,"{table: :Style, code: 'style', label: 'Construction/Contractor'}"
295,Business Type - Convenience Store,Style,Style,"{table: :Style, code: 'style', label: 'Convenience Store'}"
296,Business Type - Electrical,Style,Style,"{table: :Style, code: 'style', label: 'Electrical'}"
297,Business Type - Furniture,Style,Style,"{table: :Style, code: 'style', label: 'Furniture'}"
298,Business Type - Gas Station,Style,Style,"{table: :Style, code: 'style', label: 'Gas Station'}"
299,Business Type - Hair Salon,Style,Style,"{table: :Style, code: 'style', label: 'Hair Salon'}"
300,Business Type - Heat/Air Conditioning,Style,Style,"{table: :Style, code: 'style', label: 'Heat/Air Conditioning'}"
301,Business Type - Hotel/Motel,Style,Style,"{table: :Style, code: 'style', label: 'Hotel/Motel'}"
302,Business Type - Industrial,Style,Style,"{table: :Style, code: 'style', label: 'Industrial'}"
303,Business Type - Laundromat,Style,Style,"{table: :Style, code: 'style', label: 'Laundromat'}"
304,Business Type - Lumber,Style,Style,"{table: :Style, code: 'style', label: 'Lumber'}"
305,Business Type - Manufacturing,Style,Style,"{table: :Style, code: 'style', label: 'Manufacturing'}"
306,Business Type - Medical,Style,Style,"{table: :Style, code: 'style', label: 'Medical'}"
307,Business Type - Mobile Home Park,Style,Style,"{table: :Style, code: 'style', label: 'Mobile Home Park'}"
308,Business Type - Outfitting,Style,Style,"{table: :Style, code: 'style', label: 'Outfitting'}"
309,Business Type - Photography,Style,Style,"{table: :Style, code: 'style', label: 'Photography'}"
310,Business Type - Plumbing,Style,Style,"{table: :Style, code: 'style', label: 'Plumbing'}"
311,Business Type - Professional/Office,Style,Style,"{table: :Style, code: 'style', label: 'Professional/Office'}"
312,Business Type - Real Estate,Style,Style,"{table: :Style, code: 'style', label: 'Real Estate'}"
313,Business Type - Restaurant,Style,Style,"{table: :Style, code: 'style', label: 'Restaurant'}"
314,Business Type - Retail,Style,Style,"{table: :Style, code: 'style', label: 'Retail'}"
315,Business Type - Storage,Style,Style,"{table: :Style, code: 'style', label: 'Storage'}"
316,Business Type - Veterinary,Style,Style,"{table: :Style, code: 'style', label: 'Veterinary'}"
317,Business Type - Video,Style,Style,"{table: :Style, code: 'style', label: 'Video'}"
318,Business Type - Bar/Tavern/Lounge,Style,Style,"{table: :Style, code: 'style', label: 'Bar/Tavern/Lounge'}"
319,Business Type - Other,Style,Style,"{table: :Style, code: 'style', label: 'Other'}"
321,Commercial Features - 220 Volt,InteriorFeature,Interior_Feature,"{table: :Interior_Feature, code: 'interiorfeature', label: '220 Volt'}"
322,Commercial Features - 3-Phase Electric,InteriorFeature,Interior_Feature,"{table: :Interior_Feature, code: 'interiorfeature', label: '3-Phase Electric'}"
323,Commercial Features - DSL/Cable,InteriorFeature,Interior_Feature,"{table: :Interior_Feature, code: 'interiorfeature', label: 'DSL/Cable'}"
324,Commercial Features - Elevator,InteriorFeature,Interior_Feature,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Elevator'}"
325,Commercial Features - Fiber Optic,InteriorFeature,Interior_Feature,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Fiber Optic'}"
326,Commercial Features - Handicapped Access,InteriorFeature,Interior_Feature,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Handicapped Access'}"
327,Commercial Features - Security System,InteriorFeature,Interior_Feature,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Security System'}"
328,Commercial Features - Specialty Equipment,InteriorFeature,Interior_Feature,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Specialty Equipment'}"
329,Commercial Features - None,InteriorFeature,Interior_Feature,"{table: :Interior_Feature, code: 'interiorfeature', label: 'None'}"
330,Commercial Features - Dock,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Dock'}"
331,Commercial Features - Rail Spur,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Rail Spur'}"
333,Parking Availability - Alley,ParkingType,Parking_Type,"{table: :Parking_Type, code: 'parkingtype', label: 'Alley'}"
334,Parking Availability - Private Lot,ParkingType,Parking_Type,"{table: :Parking_Type, code: 'parkingtype', label: 'Private Lot'}"
335,Parking Availability - Public Lot,ParkingType,Parking_Type,"{table: :Parking_Type, code: 'parkingtype', label: 'Public Lot'}"
336,Parking Availability - Street,ParkingType,Parking_Type,"{table: :Parking_Type, code: 'parkingtype', label: 'Street'}"
338,Miscellaneous - P & L/Cash Flow Available,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'P & L/Cash Flow Available'}"
339,Miscellaneous - Licenses/Permits Required,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Licenses/Permits Required'}"
340,Miscellaneous - Seller Will Train,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Seller Will Train'}"
341,Miscellaneous - Franchise,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Franchise'}"
342,Miscellaneous - Building Currently Leased,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Building Currently Leased'}"
343,Miscellaneous - Environmental Study,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Environmental Study'}"
344,Miscellaneous - Highway Frontage,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Highway Frontage'}"
345,Miscellaneous - Main Street Frontage,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Main Street Frontage'}"
346,Miscellaneous - Soil Test,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Soil Test'}"
347,Miscellaneous - Seller to Sign Non-Compete,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Seller to Sign Non-Compete'}"
348,Miscellaneous - Other Structures,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Other Structures'}"
349,Miscellaneous - Special Assessments,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'Special Assessments'}"
350,Miscellaneous - None,ExteriorFeature,Exterior_Feature,"{table: :Exterior_Feature, code: 'exteriorfeature', label: 'None'}"
351,Miscellaneous - Leased Equipment,InteriorFeature,Interior_Feature,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Leased Equipment'}"
352,Miscellaneous - Fire Sprinkler System,InteriorFeature,Interior_Feature,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Fire Sprinkler System'}"
353,Miscellaneous - Inventory Included,InteriorFeature,Interior_Feature,"{table: :Interior_Feature, code: 'interiorfeature', label: 'Inventory Included'}"
354,Miscellaneous - Irrigation,IrrigationType,Irrigation_Type,"{table: :Irrigation_Type, code: 'irrigationtype', label: 'Irrigation'}"
356,Type Leased Land - BLM,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'BLM'}"
357,Type Leased Land - Bureau of Reclamation,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'Bureau of Reclamation'}"
358,Type Leased Land - Forest Service,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'Forest Service'}"
359,Type Leased Land - Private,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'Private'}"
360,Type Leased Land - State,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'State'}"
361,Type Leased Land - None,LandType,Land_Type,"{table: :Land_Type, code: 'landtype', label: 'None'}"
363,Potential Uses - Residential,Style,Style,"{table: :Style, code: 'style', label: 'Residential'}"
364,Potential Uses - Multi-Family,Style,Style,"{table: :Style, code: 'style', label: 'Multi-Family'}"
365,Potential Uses - Commercial,Style,Style,"{table: :Style, code: 'style', label: 'Commercial'}"
366,Potential Uses - Industrial,Style,Style,"{table: :Style, code: 'style', label: 'Industrial'}"
367,Potential Uses - Agricultural,Style,Style,"{table: :Style, code: 'style', label: 'Agricultural'}"
368,Potential Uses - Recreational,Style,Style,"{table: :Style, code: 'style', label: 'Recreational'}"
369,Potential Uses - Other,Style,Style,"{table: :Style, code: 'style', label: 'Other'}"
