SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique
ROOM_B2_room_width,"",Bedroom (2nd) Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B2_room_rem,"",Bedroom (2nd) Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B2_room_level,"",Bedroom (2nd) Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B3_room_length,"",Bedroom (3rd) Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B3_room_width,"",Bedroom (3rd) Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B3_room_rem,"",Bedroom (3rd) Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B3_room_level,"",Bedroom (3rd) Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B4_room_length,"",Bedroom (4th) Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B4_room_width,"",Bedroom (4th) Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B4_room_rem,"",Bedroom (4th) Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B4_room_level,"",Bedroom (4th) Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B5_room_length,"",Bedroom (5th) Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B5_room_width,"",Bedroom (5th) Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B5_room_rem,"",Bedroom (5th) Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_B5_room_level,"",Bedroom (5th) Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BK_room_length,"",Breakfast Room Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BK_room_width,"",Breakfast Room Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BK_room_rem,"",Breakfast Room Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BK_room_level,"",Breakfast Room Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BN_room_length,"",Bonus Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BN_room_width,"",Bonus Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BN_room_rem,"",Bonus Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BN_room_level,"",Bonus Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BP_room_length,"",Butler's Pantry Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BP_room_width,"",Butler's Pantry Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BP_room_rem,"",Butler's Pantry Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BP_room_level,"",Butler's Pantry Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BS_room_length,"",Basement Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BS_room_width,"",Basement Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BS_room_rem,"",Basement Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_BS_room_level,"",Basement Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_DE_room_length,"",Den Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_DE_room_width,"",Den Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_DE_room_rem,"",Den Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_DE_room_level,"",Den Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_DN_room_length,"",Dining Room Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_DN_room_width,"",Dining Room Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_DN_room_rem,"",Dining Room Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_DN_room_level,"",Dining Room Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_EN_room_length,"",Entry Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_EN_room_width,"",Entry Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_EN_room_rem,"",Entry Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_EN_room_level,"",Entry Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_EX_room_length,"",Exercise Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_EX_room_width,"",Exercise Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_EX_room_rem,"",Exercise Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_EX_room_level,"",Exercise Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_FB_room_length,"",Basement - Finished Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_FB_room_width,"",Basement - Finished Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_FB_room_rem,"",Basement - Finished Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_FB_room_level,"",Basement - Finished Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_GM_room_length,"",Great Room Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_GM_room_width,"",Great Room Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_GM_room_rem,"",Great Room Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_GM_room_level,"",Great Room Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_GR_room_length,"",Game Room Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
